hospital_id,hospital_name,address,city,state,zip_code,phone_number,email,established_year,num_beds,num_departments,director_name,emergency_contact,rating,accreditation
5001,"Griffith, Lopez and Olson Hospital",95145 Lyons Extensions,Watkinsfort,New Hampshire,50129,1527173914,vanessa06@gmail.com,1951,447,12,Lisa Miller,6658962945,3.2,ISO9001
7092,Garcia-Lopez Hospital,9780 Vargas Lane,Markberg,Wyoming,82266,7136459389,qreed@hotmail.com,1962,491,11,Rachel Hobbs,8780687188,3.3,JCI
3902,Frazier-Ibarra Hospital,1884 Kathy Course Apt. 782,Colemanmouth,Georgia,76643,0923945820,caseythompson@yahoo.com,1991,386,5,Nancy Pierce,9349360758,3.0,JCI
4979,Martinez Group Hospital,111 Robin Locks Suite 884,Millerland,Vermont,72397,1242990946,lutzsandra@yahoo.com,1953,427,16,Jacqueline Hamilton,5966824789,4.0,NABH
6140,Mcguire PLC Hospital,2952 Carla Street Apt. 946,New Tim,Ohio,76165,2695433405,pallen@hall-martin.info,1952,384,14,Brandon Miller,7464877621,3.6,NABH
8449,"Mitchell, Wilson and Jones Hospital",04929 Byrd Parkways,Alexaview,Arizona,25588,8465856227,swansonemily@gill.com,1971,394,19,Micheal Reese,3685466705,4.1,NABH
6534,"Preston, Jones and Kelly Hospital",74430 Rowland Cove,Christown,Colorado,90298,2719690920,colemartha@woodward-johnson.com,1987,325,6,Scott Perry,8093734072,4.3,NABH
9710,Bentley-Gutierrez Hospital,9522 Bryan Land,East Sharonchester,Arkansas,64127,8952933927,michaelrichard@hotmail.com,1957,336,6,Renee Lucas,2468797246,4.2,JCI
4360,Anderson LLC Hospital,787 Lisa Via Apt. 907,New Anthony,Louisiana,32691,2740080506,reginald09@davenport.com,2020,267,16,Antonio Sanchez,4089934396,3.5,NABH
7626,Roberts-Snow Hospital,18682 Andrew Estates Suite 694,Hendersonville,Illinois,15784,3524107138,gutierrezdenise@gmail.com,1972,359,6,Ashley Bradley,0586657973,4.7,ISO9001
3466,"Schmitt, Smith and Doyle Hospital",3841 Rodriguez Square Apt. 591,West Debbie,Kansas,55331,8690152962,baileyalan@yahoo.com,1982,289,10,Matthew Gonzalez,6046641849,3.8,NABH
6051,"Bradley, Miller and King Hospital",501 White Village Suite 901,Jillberg,Texas,31809,6636855464,shellysmith@yahoo.com,2016,194,5,Angel Greene,4665053426,4.9,JCI
9273,Barrera-Downs Hospital,863 Ward Harbor Suite 744,North Ginaville,Kentucky,08813,2571395405,amymorgan@ross.com,2013,321,10,Joann Contreras,3151821727,3.5,NABH
8181,Burns and Sons Hospital,1922 Moore Burg,Markstad,New York,90198,8774352252,stevenmonroe@yahoo.com,1996,428,9,Crystal King,5463359152,3.3,JCI
3652,Lee-Morrison Hospital,650 Jeffrey Forest,Colebury,Missouri,78372,5730544735,dfriedman@avery.net,1992,477,10,Carrie Campbell,1461774986,3.8,JCI
3933,"Grant, Jackson and Monroe Hospital",080 Warren Road Suite 106,Tarashire,Illinois,60326,1957287323,lucasbryant@gmail.com,2022,428,13,Mark Holmes,1642609722,3.4,NABH
3219,Peters Ltd Hospital,339 Henderson Plaza Suite 382,Robertston,Illinois,34140,3966000157,cristian42@rivera.com,1975,373,15,Nicole Campbell DVM,9973727421,3.1,JCI
8728,Murphy-Rogers Hospital,515 Jonathan Village Apt. 267,Leebury,New Jersey,67874,6281606000,kevinstark@yahoo.com,1991,249,6,Jean Williams,6326863230,4.2,ISO9001
6956,Rivera LLC Hospital,5138 Stein Curve Apt. 996,North Erica,Arkansas,02754,8825917963,bryan63@ramos.net,1958,381,5,Kristen Schwartz,7767271122,4.7,JCI
8639,"Christensen, Gill and Oconnell Hospital",6321 Buck Fords Apt. 964,Nicholasview,Virginia,35016,7730904589,browngregory@strickland-green.com,1993,244,6,Samuel Keith,1132448530,3.8,ISO9001
4625,"Morrison, May and Martin Hospital",005 Arellano Club Apt. 628,Lake Lisa,New Mexico,05901,4837180185,astrong@mcguire-schultz.com,1992,185,19,Russell Thomas,2763990790,3.1,JCI
7714,Miller Group Hospital,65185 Sanders Forks,New Jamesville,Kentucky,29901,6957629595,rojasmary@potts-rodriguez.com,2012,210,5,William Hamilton,2898345117,4.1,JCI
3907,Mcintosh LLC Hospital,2001 Pierce Land Apt. 611,South Tina,New Jersey,64132,9990164757,jamesisaac@sutton.com,1950,398,15,Carl Spencer,4461043511,3.6,JCI
3815,Bates-Vaughn Hospital,366 Conner Garden,Yoderbury,Mississippi,89238,1577926644,ograham@hotmail.com,1976,417,10,Daniel Herrera,2450581926,4.9,ISO9001
4673,Boyd Group Hospital,478 Bonnie Coves,Kaylatown,Arizona,00873,6777050920,dbailey@hotmail.com,1986,300,14,Mrs. Regina Stokes,1836038537,3.6,NABH
7132,Kelly-Sims Hospital,9267 William Pass,Sandrachester,Rhode Island,38273,0342565281,michele44@ford.com,2009,464,19,Francisco Snow,2774885232,4.0,JCI
7921,Fitzgerald-King Hospital,379 Davis Manor Suite 188,South Johnbury,Mississippi,38613,1352130900,jamesmartin@gmail.com,2003,411,7,Brooke Anderson,9851162427,4.0,JCI
3001,Elliott-Wright Hospital,894 Suzanne Islands,New Stacy,North Dakota,21907,1875130298,danielle47@robinson-solomon.info,1977,208,14,Ian Dillon,6983727142,4.7,JCI
4867,"Pham, Lopez and Zamora Hospital",463 Jordan Ramp,South Scottside,Iowa,79264,6867996058,danielsanthony@hotmail.com,1984,345,14,Kimberly Stewart,0734678294,3.1,ISO9001
4666,Garcia Ltd Hospital,49178 Carla Terrace Apt. 117,New Matthewtown,New York,02598,1822084246,samanthalester@jackson.com,1981,169,9,Brandon Cortez,7007767147,3.7,ISO9001
8879,Wilson-Wolfe Hospital,5641 Emily Falls Apt. 784,Maymouth,Hawaii,80371,5912210217,anna79@baker.com,1994,209,19,Jennifer Stanley,0553118082,3.2,NABH
7307,"Jones, Dickerson and Cruz Hospital",346 Sean Creek Apt. 659,Michaelport,West Virginia,44782,3563319305,brendahensley@hunter-callahan.com,2017,70,11,Gary Scott,9971371454,3.2,JCI
3152,Baker Group Hospital,3210 Rebecca Alley Apt. 643,Andersonburgh,Iowa,48472,8805985770,hernandezmichael@hansen-haynes.com,2015,377,17,Andrew Ellis,9702159598,4.7,NABH
6642,"Castaneda, Walters and Torres Hospital",9327 Martinez Wall Suite 801,East Kevin,Kentucky,41858,6666614386,jordanwright@gmail.com,1986,199,17,Jasmine Mata,5142040398,3.9,NABH
6643,"Castaneda, Walters and Torres Hospital",9327 Martinez Wall Suite 801,East Kevin,Kentucky,41858,6666614386,jordanwright@gmail.com,1986,199,17,Jasmine Mata,5142040398,3.9,NABH
6644,"Castaneda, Walters and Torres Hospital",9327 Martinez Wall Suite 801,East Kevin,Kentucky,41858,6666614386,jordanwright@gmail.com,1986,199,17,Jasmine Mata,5142040398,3.9,NABH
6645,"Castaneda, Walters and Torres Hospital",9327 Martinez Wall Suite 801,East Kevin,Kentucky,41858,6666614386,jordanwright@gmail.com,1986,199,17,Jasmine Mata,5142040398,3.9,NABH
6646,"Castaneda, Walters and Torres Hospital",9327 Martinez Wall Suite 801,East Kevin,Kentucky,41858,6666614386,jordanwright@gmail.com,1986,199,17,Jasmine Mata,5142040398,3.9,NABH
